   Moment (kNm),Axial Load (kN)
  2017.675   ,   -3849.638
   1984.627   ,   -2280.780
   1781.704   ,   -916.132
   1605.939   ,   340.902
   1402.750   ,   1464.783
   1189.218   ,   2538.569
   949.659   ,   3544.457
   681.079   ,   4535.226
   357.847   ,   5226.732
   0.092   ,   4268.533
   -275.853   ,   3532.311
   -512.861   ,   2863.181
   -726.979   ,   2229.167
   -935.880   ,   1626.685
   -1149.720   ,   1009.114
   -1380.424   ,   331.878
   -1628.006   ,   -487.642
   -1842.446   ,   -1571.781
   -2030.601   ,   -2888.515
   -1871.787   ,   -4530.277
   -1712.598   ,   -5974.108
   -1527.647   ,   -7253.234
   -1323.149   ,   -8383.895
   -1105.990   ,   -9391.842
   -879.554   ,   -10384.283
   -630.884   ,   -11397.186
   -334.720   ,   -12174.713
   0.023   ,   -11407.790
   283.361   ,   -10564.600
   524.516   ,   -9826.581
   739.322   ,   -9134.696
   939.808   ,   -8456.708
   1132.902   ,   -7739.331
   1320.527   ,   -6953.097
   1516.169   ,   -6078.253
   1736.990   ,   -5075.587
   2017.621   ,   -3849.867
